Latin_Name,Age,DBH,Source,Site
Albizia sp.,15,21,Tanz  VCU Data,Tanzania
Albizia sp.,30,50,Tanz  VCU Data,Tanzania
Albizia sp.,126,52.6,Tanz  VCU Data,Tanzania
Albizia sp.,82,43.3,Tanz  VCU Data,Tanzania
Albizia sp.,15,21,Tanz  VCU Data,Tanzania
Albizia sp.,3,5.093108388,Tanz  VCU Data,Tanzania
Albizia sp.,8,5.729746936,Tanz  VCU Data,Tanzania
Albizia sp.,7,8.594620404,Tanz  VCU Data,Tanzania
Albizia sp.,2,3.819831291,Tanz  VCU Data,Tanzania
Albizia sp.,30,9.867897501,Tanz  VCU Data,Tanzania
Albizia sp.,400,83.9,Tanz  VCU Data,Tanzania
Bridelia micrantha,230,54,Tanz  VCU Data,Tanzania
Bridelia micrantha,12,12.4144517,Tanz  VCU Data,Tanzania
Bridelia micrantha,6,9.867897501,Tanz  VCU Data,Tanzania
Cederela odorata,2,8,Tanz  VCU Data,Tanzania
Cederela odorata,6,16,Tanz  VCU Data,Tanzania
Cederela odorata,4,12.4144517,Tanz  VCU Data,Tanzania
Cederela odorata,20,50,Tanz  VCU Data,Tanzania
Cinnamomum camphora,12,14.4,Tanz  VCU Data,Tanzania
Cinnamomum camphora,90,60.96,Tanz  VCU Data,Tanzania
Cinnamomum camphora,280,139.7,Tanz  VCU Data,Tanzania
Cinnamomum camphora,4,6.366385485,Tanz  VCU Data,Tanzania
Cinnamomum camphora,12,13.36940952,Tanz  VCU Data,Tanzania
Cinnamomum camphora,5,8.594620404,Tanz  VCU Data,Tanzania
Cinnamomum camphora,4,5.729746936,Tanz  VCU Data,Tanzania
Cordia africana,4.5,7.31,Tanz  VCU Data,Tanzania
Cordia africana,14,27,Tanz  VCU Data,Tanzania
Cordia africana,30,39,Tanz  VCU Data,Tanzania
Cordia africana,43,50,Tanz  VCU Data,Tanzania
Cordia africana,88,62,Tanz  VCU Data,Tanzania
Cordia africana,4,7.957981856,Tanz  VCU Data,Tanzania
Croton megalocarpus,15,15,Tanz  VCU Data,Tanzania
Croton megalocarpus,32,21.96402992,Tanz  VCU Data,Tanzania
Croton megalocarpus,50,60,Tanz  VCU Data,Tanzania
Croton megalocarpus,98,24.51058412,Tanz  VCU Data,Tanzania
Croton megalocarpus,9,10.82285532,Tanz  VCU Data,Tanzania
Croton megalocarpus,167,44.24637912,Tanz  VCU Data,Tanzania
Croton megalocarpus,29,22.4,Tanz  VCU Data,Tanzania
Croton megalocarpus,29,27.8,Tanz  VCU Data,Tanzania
Croton megalocarpus,5,7.2,Tanz  VCU Data,Tanzania
Croton megalocarpus,10,12,Tanz  VCU Data,Tanzania
Croton megalocarpus,11,13.9,Tanz  VCU Data,Tanzania
Croton megalocarpus,62,43.8,Tanz  VCU Data,Tanzania
Erythrina abyssinica,42,12.6,Tanz  VCU Data,Tanzania
Erythrina abyssinica,5,0.8,Tanz  VCU Data,Tanzania
Erythrina abyssinica,10,1.4,Tanz  VCU Data,Tanzania
Erythrina abyssinica,35,12.4144517,Tanz  VCU Data,Tanzania
Ficus sir,3,10.9,Tanz  VCU Data,Tanzania
Ficus sir,19,58,Tanz  VCU Data,Tanzania
Ficus sir,100,91.4,Tanz  VCU Data,Tanzania
Ficus sir,12,10.50453605,Tanz  VCU Data,Tanzania
Ficus sir,12,10.18621678,Tanz  VCU Data,Tanzania
Ficus sir,12,17.82587936,Tanz  VCU Data,Tanzania
Ficus sir,12,14.96100589,Tanz  VCU Data,Tanzania
Ficus sir,12,13.36940952,Tanz  VCU Data,Tanzania
Ficus thorningii,3,10.9,Tanz  VCU Data,Tanzania
Ficus thorningii,19,58,Tanz  VCU Data,Tanzania
Ficus thorningii,100,91.4,Tanz  VCU Data,Tanzania
Ficus thorningii,387,128.601,Tanz  VCU Data,Tanzania
Grevillea robusta,4,7,Tanz  VCU Data,Tanzania
Grevillea robusta,11,18,Tanz  VCU Data,Tanzania
Grevillea robusta,37,46,Tanz  VCU Data,Tanzania
Grevillea robusta,57,21.64571065,Tanz  VCU Data,Tanzania
